,output_as_frac_of_cap
2017-01-01 00:00:00,0.2885504814247656
2017-01-01 01:00:00,0.2874914518260578
2017-01-01 02:00:00,0.32345870655115266
2017-01-01 03:00:00,0.366145193094334
2017-01-01 04:00:00,0.3698403641626985
2017-01-01 05:00:00,0.36549018271066264
2017-01-01 06:00:00,0.3738399131547482
2017-01-01 07:00:00,0.40679013446330053
2017-01-01 08:00:00,0.3864222483270751
2017-01-01 09:00:00,0.39682249166159717
2017-01-01 10:00:00,0.4402906379140358
2017-01-01 11:00:00,0.44615033248725633
2017-01-01 12:00:00,0.48743014621048436
2017-01-01 13:00:00,0.5041875039332089
2017-01-01 14:00:00,0.5163336724633424
2017-01-01 15:00:00,0.4918926076650374
2017-01-01 16:00:00,0.49531911434624815
2017-01-01 17:00:00,0.46038183591701454
2017-01-01 18:00:00,0.4496036374315621
2017-01-01 19:00:00,0.42458155901911016
2017-01-01 20:00:00,0.38221701873256275
2017-01-01 21:00:00,0.35789620524008303
2017-01-01 22:00:00,0.32644946613244946
2017-01-01 23:00:00,0.29222336430953827
2017-01-02 00:00:00,0.27368997923265714
2017-01-02 01:00:00,0.24610407795095549
2017-01-02 02:00:00,0.24193713158943592
2017-01-02 03:00:00,0.24584170669799246
2017-01-02 04:00:00,0.2438134295483627
2017-01-02 05:00:00,0.24226762602001214
2017-01-02 06:00:00,0.24218272115122402
2017-01-02 07:00:00,0.2530150405907155
2017-01-02 08:00:00,0.25107366113570095
2017-01-02 09:00:00,0.2521822491661597
2017-01-02 10:00:00,0.25209860292420966
2017-01-02 11:00:00,0.24918655996308026
2017-01-02 12:00:00,0.2641398858845
2017-01-02 13:00:00,0.2849483962996371
2017-01-02 14:00:00,0.2961042877220951
2017-01-02 15:00:00,0.29782257557005304
2017-01-02 16:00:00,0.30246119233915797
2017-01-02 17:00:00,0.2927472152881206
2017-01-02 18:00:00,0.28956052946235655
2017-01-02 19:00:00,0.28798436156153634
2017-01-02 20:00:00,0.31655330284659433
2017-01-02 21:00:00,0.346999276289568
2017-01-02 22:00:00,0.3592300350317803
2017-01-02 23:00:00,0.36804294015229383
2017-01-03 00:00:00,0.3939282268045562
2017-01-03 01:00:00,0.3878898072203226
2017-01-03 02:00:00,0.383683371441757
2017-01-03 03:00:00,0.39304823687357093
2017-01-03 04:00:00,0.3946209435505863
2017-01-03 05:00:00,0.39652482641438186
2017-01-03 06:00:00,0.38069234964653564
2017-01-03 07:00:00,0.3844360302909525
2017-01-03 08:00:00,0.42412263220826074
2017-01-03 09:00:00,0.4632705942816387
2017-01-03 10:00:00,0.5043497619097564
2017-01-03 11:00:00,0.5485281932411739
2017-01-03 12:00:00,0.569172610182291
2017-01-03 13:00:00,0.5689320026850705
2017-01-03 14:00:00,0.5754966856159929
2017-01-03 15:00:00,0.566566833085104
2017-01-03 16:00:00,0.5750372343772944
2017-01-03 17:00:00,0.5783128107235006
2017-01-03 18:00:00,0.5788659247760692
2017-01-03 19:00:00,0.5634438128002349
2017-01-03 20:00:00,0.5593799165110863
2017-01-03 21:00:00,0.5441898638585303
2017-01-03 22:00:00,0.5396155943865243
2017-01-03 23:00:00,0.5107929349080154
2017-01-04 00:00:00,0.49640195296931044
2017-01-04 01:00:00,0.4827474775020452
2017-01-04 02:00:00,0.4841949508086677
2017-01-04 03:00:00,0.45299091690965154
2017-01-04 04:00:00,0.43961942270982357
2017-01-04 05:00:00,0.42066214260242074
2017-01-04 06:00:00,0.3892240041115143
2017-01-04 07:00:00,0.3693810178095697
2017-01-04 08:00:00,0.3471205764510918
2017-01-04 09:00:00,0.32970878521533004
2017-01-04 10:00:00,0.3122495332592142
2017-01-04 11:00:00,0.28143667009292855
2017-01-04 12:00:00,0.27593300958654104
2017-01-04 13:00:00,0.2491825218686413
2017-01-04 14:00:00,0.22266026515072052
2017-01-04 15:00:00,0.19535965261899266
2017-01-04 16:00:00,0.17508448532650878
2017-01-04 17:00:00,0.16140315915336365
2017-01-04 18:00:00,0.13798562018837446
2017-01-04 19:00:00,0.1166270898449791
2017-01-04 20:00:00,0.10431032493549536
2017-01-04 21:00:00,0.09262082817645947
2017-01-04 22:00:00,0.0842285141910176
2017-01-04 23:00:00,0.07410558830316125
2017-01-05 00:00:00,0.06551026829728765
2017-01-05 01:00:00,0.06288508736967967
2017-01-05 02:00:00,0.0585105724654402
2017-01-05 03:00:00,0.059310220049925526
2017-01-05 04:00:00,0.06396949927628956
2017-01-05 05:00:00,0.06760336472908057
2017-01-05 06:00:00,0.07491163390740702
2017-01-05 07:00:00,0.0870952465859747
2017-01-05 08:00:00,0.10954505884080468
2017-01-05 09:00:00,0.13031434205282036
2017-01-05 10:00:00,0.14247598120450589
2017-01-05 11:00:00,0.16122044849069664
2017-01-05 12:00:00,0.17310262004153468
2017-01-05 13:00:00,0.18118242747162844
2017-01-05 14:00:00,0.19714837112710032
2017-01-05 15:00:00,0.21668865767447712
2017-01-05 16:00:00,0.24216709320131732
2017-01-05 17:00:00,0.27814137525959176
2017-01-05 18:00:00,0.30319334605944914
2017-01-05 19:00:00,0.3152958821925279
2017-01-05 20:00:00,0.31340054750267454
2017-01-05 21:00:00,0.33252900086006165
2017-01-05 22:00:00,0.359992658010111
2017-01-05 23:00:00,0.36224780264731177
2017-01-06 00:00:00,0.3630674309328522
2017-01-06 01:00:00,0.3570000629313419
2017-01-06 02:00:00,0.3522094145287491
2017-01-06 03:00:00,0.37089441169683873
2017-01-06 04:00:00,0.3835007132218749
2017-01-06 05:00:00,0.3805445658786264
2017-01-06 06:00:00,0.38527107675525996
2017-01-06 07:00:00,0.37487240670428557
2017-01-06 08:00:00,0.35294786138323087
