,output_as_frac_of_cap
2017-01-01 00:00:00,0.0
2017-01-01 01:00:00,0.0
2017-01-01 02:00:00,0.0
2017-01-01 03:00:00,0.0
2017-01-01 04:00:00,0.0
2017-01-01 05:00:00,0.0
2017-01-01 06:00:00,0.0
2017-01-01 07:00:00,0.0
2017-01-01 08:00:00,0.0001998432601880878
2017-01-01 09:00:00,0.00527625401645768
2017-01-01 10:00:00,0.016026645768025077
2017-01-01 11:00:00,0.03036180773249739
2017-01-01 12:00:00,0.03601097178683386
2017-01-01 13:00:00,0.03830329153605016
2017-01-01 14:00:00,0.02268808777429467
2017-01-01 15:00:00,0.019905956112852664
2017-01-01 16:00:00,0.005241640595611286
2017-01-01 17:00:00,0.0
2017-01-01 18:00:00,0.0
2017-01-01 19:00:00,0.0
2017-01-01 20:00:00,0.0
2017-01-01 21:00:00,0.0
2017-01-01 22:00:00,0.0
2017-01-01 23:00:00,0.0
2017-01-02 00:00:00,0.0
2017-01-02 01:00:00,0.0
2017-01-02 02:00:00,0.0
2017-01-02 03:00:00,0.0
2017-01-02 04:00:00,0.0
2017-01-02 05:00:00,0.0
2017-01-02 06:00:00,0.0
2017-01-02 07:00:00,0.0
2017-01-02 08:00:00,0.0007523510710553815
2017-01-02 09:00:00,0.029388061631400213
2017-01-02 10:00:00,0.12415099268547546
2017-01-02 11:00:00,0.21303552769070008
2017-01-02 12:00:00,0.2054597701149425
2017-01-02 13:00:00,0.23315047021943575
2017-01-02 14:00:00,0.21094566353187041
2017-01-02 15:00:00,0.1156478578892372
2017-01-02 16:00:00,0.027821316614420062
2017-01-02 17:00:00,0.0
2017-01-02 18:00:00,0.0
2017-01-02 19:00:00,0.0
2017-01-02 20:00:00,0.0
2017-01-02 21:00:00,0.0
2017-01-02 22:00:00,0.0
2017-01-02 23:00:00,0.0
2017-01-03 00:00:00,0.0
2017-01-03 01:00:00,0.0
2017-01-03 02:00:00,0.0
2017-01-03 03:00:00,0.0
2017-01-03 04:00:00,0.0
2017-01-03 05:00:00,0.0
2017-01-03 06:00:00,0.0
2017-01-03 07:00:00,0.0
2017-01-03 08:00:00,0.0010449974268547547
2017-01-03 09:00:00,0.025318051280041796
2017-01-03 10:00:00,0.08681426332288401
2017-01-03 11:00:00,0.1338166144200627
2017-01-03 12:00:00,0.15295193312434693
2017-01-03 13:00:00,0.14295977011494254
2017-01-03 14:00:00,0.11024033437826541
2017-01-03 15:00:00,0.06180773249738767
2017-01-03 16:00:00,0.02073928948537095
2017-01-03 17:00:00,0.0031165099921630092
2017-01-03 18:00:00,0.0
2017-01-03 19:00:00,0.0
2017-01-03 20:00:00,0.0
2017-01-03 21:00:00,0.0
2017-01-03 22:00:00,0.0
2017-01-03 23:00:00,0.0
2017-01-04 00:00:00,0.0
2017-01-04 01:00:00,0.0
2017-01-04 02:00:00,0.0
2017-01-04 03:00:00,0.0
2017-01-04 04:00:00,0.0
2017-01-04 05:00:00,0.0
2017-01-04 06:00:00,0.0
2017-01-04 07:00:00,0.0
2017-01-04 08:00:00,0.0002507837121212121
2017-01-04 09:00:00,0.009639498439132706
2017-01-04 10:00:00,0.041248693834900735
2017-01-04 11:00:00,0.0922087251828631
2017-01-04 12:00:00,0.1288531870428422
2017-01-04 13:00:00,0.15112330198537094
2017-01-04 14:00:00,0.1262408568443051
2017-01-04 15:00:00,0.07251828631138976
