year,quarter,onshore_wind,offshore_wind,wind,Shoreline wave / tidal,PV,Small scale Hydro,Large scale Hydro,Landfill gas ,Sewage sludge digestion,Energy from waste,Animal Biomass (non-AD) [note 2],Anaerobic Digestion,Plant Biomass [note 3],nuclear,Source Energy Trends report 6.1,,,,,,,,
2009,,3471,951,4422,2,27,175,1464,968,157,381,111,12,285,10858,Dukes 5.7,,,,,,,,
2010,,4080,1341,5421,4,95,188,1459,1021,193,413,111,30,321,10865,Nuclear Power Today | Nuclear Energy - World Nuclear Association (world-nuclear.org),,,,,,,,
2011,,4758,1838,6596,4,1000,202,1477,1053,199,502,111,74,1164,10663,,,,,,,,,
2012,,6035,2995,9030,9,1754,216,1477,1042,212,513,111,121,1166,9946,,,,,,,,,
2013,,7586,3696,11282,8,2937,232,1477,1050,201,545,111,163,1955,9906,,,,,,,,,
2014,,8573,4501,13074,9,5528,253,1477,1058,230,680,111,243,2258,9937,,,,,,,,,
2015,,9212,5094,14306,9,9601,300,1477,1061,231,930,111,336,2604,9261,,,,,,,,,
2016,,10833,5293,16126,13,11914,359,1473,1062,257,1028,129,454,2834,9261,,,,,,,,,
2017,1,12597,6988,19585,18,12760,396,1473,1066,245,1091,129,507,3020,9261,,,,,,,,,
2017,2,12597,6988,19585,18,12760,396,1473,1066,245,1091,129,507,3020,9261,,,,,,,,,
2017,3,12597,6988,19585,18,12760,396,1473,1066,245,1091,129,507,3020,9261,,,,,,,,,
2017,4,12597,6988,19585,18,12760,396,1473,1066,245,1091,129,507,3020,9261,,,,,,,,,
2018,1,13425,8181,21606,20,13059,404,1473,1063,247,1137,129,528,4463,9261,,,,,,,,,
2018,2,13425,8181,21606,20,13059,404,1473,1063,247,1137,129,528,4463,9261,,,,,Torness 1,623,,,
2018,3,13425,8181,21606,20,13059,404,1473,1063,247,1137,129,528,4463,9261,,,,,Torness 2,623,,,
2018,4,13425,8181,21606,20,13059,404,1473,1063,247,1137,129,528,4463,9261,,,,,Sizewell B 1,602,,,
2019,1,13998,9888,23886,22,13345,407,1473,1055,247,1310,129,542,4554,9261,,,,,Sizewell B 2,598,,,
2019,2,13998,9888,23886,22,13345,407,1473,1055,247,1310,129,542,4554,9261,,,,,Heysham 1 1,620,,,
2019,3,13998,9888,23886,22,13345,407,1473,1055,247,1310,129,542,4554,9261,,,,,Heysham 1 2,620,,,
2019,4,13998,9888,23886,22,13345,407,1473,1055,247,1310,129,542,4554,9261,,,,,Heysham 2 1,554,,,
2020,1,14075,10383,24458,22,13579,415,1471,1055,247,1435,129,543,4564,8141,,,,,Heysham 2 2,554,,,
2020,2,14075,10383,24458,22,13579,415,1471,1055,247,1435,129,543,4564,8141,,,,,Hartlepool 1,504,,,
2020,3,14075,10383,24458,22,13579,415,1471,1055,247,1435,129,543,4564,8141,,,,,Hartlepool 2,585,,,
2020,4,14075,10383,24458,22,13579,415,1471,1055,247,1435,129,543,4564,8141,,,,,,5883,,,
2021,1,14075,10383,24458,22,13579,415,1471,1055,247,1435,129,543,4564,8141,,,,,,,,,
2021,2,14211,10665,24876,22,13778,418,1471,1055,247,1442,129,568,4571,8141,,,,,,,,,5883
2021,3,14346,11067,25413,22,13843,420,1471,1056,247,1451,129,614,4571,8141,,,,,,,,,
2021,4,14492,11256,25748,22,13914,420,1471,1056,257,1451,129,614,4573,8141,,,,,,,,,
2022,1,14581,12667,27248,22,14086,420,1471,1056,257,1451,129,605,4573,8141,,,,,,,,,
2022,2,14648,12734,27382,22,14117,419,1471,1053,268,1505,129,619,4585,6923,Hunterston shutdown 7th Jan,,,,,,,,
2022,3,14648,13196,27844,22,14251,420,1471,1053,268,1505,129,619,4585,5883,Hinkley B shut down by end June 2022.,,,,,,,,
2022,4,14835,13928,28763,22,14651,420,1471,1059,268,1505,129,630,4585,5883,,,,,,,,,
2023,1,15279,14173,29452,24,15110,420,1471,1059,268,1547,129,626,4585,5883,,,,,,,,,
2023,2,15283,14417,29700,24,15345,420,1471,1059,268,1547,129,626,4585,5883,,,,,,,,,
2023,3,15283,14417,29700,24,15345,420,1471,1059,268,1547,129,626,4585,5883,Held same as Q2 for now,,,,,,,,
2023,4,15283,14417,29700,24,15345,420,1471,1059,268,1547,129,626,4585,5883,Held same as Q2 for now,,,,,,,,
2024,1,15283,14417,29700,24,15345,420,1471,1059,268,1547,129,626,4585,5883,Held same as Q2 for now,,,,,,,,
