year,quarter,HOWBO,HOWAO,SGRWO,MOWEO,Triton_Knoll,East_Anglia,Walney_ext,LARYO,BEATO,GYMRO,RCBKO,GRGBW,Rampion,Dudgeon,WDNSO,Walney,GAOFO,SHRSO,THNTO,LNCSO,BRBEO,WTMSO,Humber,Total,Notes
2017,1,,,,,,,,630,,576,,504,,,389,367.2,,317,0,270,259,210,0,3522.2,I've tried to get data for all offshore farms >200MW nameplate
2017,2,,,,,,,,630,,576,,504,,,389,367.2,,317,0,270,259,210,0,3522.2,"Empty cell means installation not commisioned, 0 means commisioned according to info, but no data on B1610"
2017,3,,,,,,,,630,,576,300,504,,,389,367.2,0,317,0,270,259,210,0,3822.2,"Where ramp-up is underway, cap is interpolated to end of quarter"
2017,4,,,,,,,300,630,,576,573,504,,0,389,367.2,0,317,0,270,259,210,0,4395.2,"Humber should be 219MW, but I can only find data for one of the 2 units"
2018,1,,,,,,,300,630,,576,573,504,200,0,389,367.2,0,317,0,270,259,210,0,4595.2,
2018,2,,,,,,,660,630,,576,573,504,400,0,389,367.2,0,317,0,270,259,210,110,5265.2,
2018,3,,,,,,,660,630,,576,573,504,400,395,389,367.2,0,317,0,270,259,210,110,5660.2,
2018,4,,,,,,,660,630,0,576,573,504,400,395,389,367.2,0,317,0,270,259,210,110,5660.2,
2019,1,,,,,,,660,630,300,576,573,504,400,395,389,367.2,0,317,0,270,259,210,110,5960.2,
2019,2,,400,,,,,660,630,588,576,573,504,400,395,389,367.2,0,317,0,270,259,210,110,6648.2,
2019,3,,800,,,,,660,630,588,576,573,504,400,395,389,367.2,0,317,0,270,259,210,110,7048.2,
2019,4,,800,,,,300,660,630,588,576,573,504,400,395,389,367.2,0,317,0,270,259,210,110,7348.2,
2020,1,,1200,,,,300,660,630,588,576,573,504,400,395,389,367.2,0,317,0,270,259,210,110,7748.2,
2020,2,,1200,,,,600,660,630,588,576,573,504,400,395,389,367.2,0,317,0,270,259,210,110,8048.2,
2020,3,,1200,,,,714,660,630,588,576,573,504,400,395,389,367.2,0,317,0,270,259,210,110,8162.2,
2020,4,,1200,,,,714,660,630,588,576,573,504,400,395,389,367.2,0,317,0,270,259,210,110,8162.2,
2021,1,,1200,,,,714,660,630,588,576,573,504,400,395,389,367.2,353,317,0,270,259,210,110,8515.2,
2021,2,,1200,,,0,714,660,630,588,576,573,504,400,395,389,367.2,353,317,0,270,259,210,110,8515.2,
2021,3,,1200,,300,0,714,660,630,588,576,573,504,400,395,389,367.2,353,317,0,270,259,210,110,8815.2,
2021,4,,1200,,950,0,714,660,630,588,576,573,504,400,395,389,367.2,353,317,0,270,259,210,110,9465.2,
2022,1,200,1200,,950,0,714,660,630,588,576,573,504,400,395,389,367.2,353,317,0,270,259,210,110,9665.2,
2022,2,800,1200,,950,0,714,660,630,588,576,573,504,400,395,389,367.2,353,317,0,270,259,210,110,10265.2,
2022,3,1386,1200,,950,0,714,660,630,588,576,573,504,400,395,389,367.2,353,317,0,270,259,210,110,10851.2,
2022,4,1386,1200,300,950,0,714,660,630,588,576,573,504,400,395,389,367.2,353,317,0,270,259,210,110,11151.2,
2023,1,1386,1200,600,950,0,714,660,630,588,576,573,504,400,395,389,367.2,353,317,0,270,259,210,110,11451.2,
2023,2,1386,1200,900,950,0,714,660,630,588,576,573,504,400,395,389,367.2,353,317,0,270,259,210,110,11751.2,
2023,3,1386,1200,1140,950,857,714,660,630,588,576,573,504,400,395,389,367.2,353,317,300,270,259,210,110,13148.2,
2023,4,1386,1200,1140,950,857,714,660,630,588,576,573,504,400,395,389,367.2,353,317,300,270,259,210,110,13148.2,
2024,1,1386,1200,1140,950,857,714,660,630,588,576,573,504,400,395,389,367.2,353,317,300,270,259,210,110,13148.2,
