year,quarter,total_onshore_wind_ET6.1,embedded_wind,onshore_HH_metered,onshore_HH_corr.,total_offshore_wind_ET6.1,offshore_wind_B1610_subset,wind_ET6.1,Shoreline wave / tidal,PV,Small scale Hydro,Large scale Hydro,Landfill gas ,Sewage sludge digestion,Energy from waste,Animal Biomass (non-AD) [note 2],Anaerobic Digestion,Plant Biomass [note 3],nuclear,,,,,,,,
2017,1,11965,4631,7334,9534.2,5448,3522.2,19585,18,12760,396,1473,1066,245,1091,129,507,3020,9261,,,"Source: Energy Trends report 6.1, except:",,,,,
2017,2,12314,5143,7171,9322.3,5646,3522.2,19585,18,12760,396,1473,1066,245,1091,129,507,3020,9261,,,,,,,,
2017,3,12567,5305,7262,9440.6,6131,3822.2,19585,18,12760,396,1473,1066,245,1091,129,507,3020,9261,,,Nuclear:,,,,,
2017,4,12597,5754,6843,8895.9,6958,4395.2,19585,18,12760,396,1473,1066,245,1091,129,507,3020,9261,,,Dukes 5.7,,,,,
2018,1,13045,5978,7067,9187.1,7610,4595.2,21606,20,13059,404,1473,1063,247,1137,129,528,4463,9261,,,Nuclear Power Today | Nuclear Energy - World Nuclear Association (world-nuclear.org),,,,,
2018,2,13142,5913,7229,9397.7,7764,5265.2,21606,20,13059,404,1473,1063,247,1137,129,528,4463,9261,,,,,,,,
2018,3,13288,5911,7377,9590.1,7980,5660.2,21606,20,13059,404,1473,1063,247,1137,129,528,4463,9261,,,Sources:,,,,,
2018,4,13425,5918,7507,9759.1,8151,5660.2,21606,20,13059,404,1473,1063,247,1137,129,528,4463,9261,,,Embedded wind:,NGESO donwlaods Historic demand data,,,,Historic Demand Data | ESO (nationalgrideso.com)
2019,1,13664,6162,7502,9752.6,8447,5960.2,23886,22,13345,407,1473,1055,247,1310,129,542,4554,9261,,,,,,,,
2019,2,13873,6137,7736,10056.8,9124,6648.2,23886,22,13345,407,1473,1055,247,1310,129,542,4554,9261,,,onshore_HH_corr. Is (total onshore - embedded) * fudge factor to bring observed peak output down below 100% of capacity!,,,,,
2019,3,13960,6182,7778,10111.4,9670,7048.2,23886,22,13345,407,1473,1055,247,1310,129,542,4554,9261,,,,,,,,
2019,4,13998,6465,7533,9792.9,9856,7348.2,23886,22,13345,407,1473,1055,247,1310,129,542,4554,9261,,,,,,,,
2020,1,13974,6559,7415,9639.5,10082,7748.2,24458,22,13579,415,1471,1055,247,1435,129,543,4564,8141,,,,,,,,
2020,2,13976,6527,7449,9683.7,10351,8048.2,24458,22,13579,415,1471,1055,247,1435,129,543,4564,8141,,,,,,,,
2020,3,13978,6527,7451,9686.3,10351,8162.2,24458,22,13579,415,1471,1055,247,1435,129,543,4564,8141,,,,,,,,
2020,4,14075,6527,7548,9812.4,10351,8162.2,24458,22,13579,415,1471,1055,247,1435,129,543,4564,8141,,,,,,,,
2021,1,14115,6527,7588,9864.4,10360,8515.2,24458,22,13579,415,1471,1055,247,1435,129,543,4564,8141,,,,,,,,
2021,2,14211,6527,7684,9989.2,10625,8515.2,24876,22,13778,418,1471,1055,247,1442,129,568,4571,8141,,,,,,,,
2021,3,14346,6527,7819,10164.7,11025,8815.2,25413,22,13843,420,1471,1056,247,1451,129,614,4571,8141,,,,,,,,
2021,4,14492,6527,7965,10354.5,11176,9465.2,25748,22,13914,420,1471,1056,257,1451,129,614,4573,8141,,,,,,,,
2022,1,14648,6545,8103,10533.9,12654,9665.2,27248,22,14086,420,1471,1056,257,1451,129,605,4573,8141,,,,,,,,
2022,2,14648,6545,8103,10533.9,13116,10265.2,27382,22,14117,419,1471,1053,268,1505,129,619,4585,6923,Hunterston shutdown 7th Jan,,,,,,,
2022,3,14686,6545,8141,10583.3,13768,10851.2,27844,22,14251,420,1471,1053,268,1505,129,619,4585,5883,Hinkley B shut down by end June 2022.,,,,,,,
2022,4,14835,6545,8290,10777,13848,11151.2,28763,22,14651,420,1471,1059,268,1505,129,630,4585,5883,,,,,,,,
2023,1,15359,6545,8814,11458.2,14093,11451.2,29452,24,15110,420,1471,1059,268,1547,129,626,4585,5883,,,,,,,,
2023,2,15441,6538,8903,11573.9,14350,11751.2,29700,24,15345,420,1471,1059,268,1547,129,626,4585,5883,,,,,,,,
2023,3,15469,6538,8931,11610.3,14666,13148.2,29700,24,15550,420,1471,1059,268,1547,129,626,4585,5883,,,,,,,,
2023,4,15469,6488,8981,11675.3,14666,13148.2,29700,24,15550,420,1471,1059,268,1547,129,626,4585,5883,"Held same as Q3 for now, except embedded wind which is up to data",,,,,,,
2024,1,15469,6488,8981,11675.3,14666,13148.2,29700,24,15550,420,1471,1059,268,1547,129,626,4585,5883,"Held same as Q3 for now, except embedded wind which is up to date",,,,,,,
