Eff,,Obj_A: % load met,Obj_B: Worst deficit (GW),Obj_C: Cost(£/MWh),Obj_D: CO2 (kg/MWh),GW_nuclear,GW_PV,GW_onshore_wind,GW_offshore_wind,GW_BECCS,GW_OCGT,GW_H2,h_H2,CV
0.18,0,72.88492988,-40.73740587,145.0645209,-73.11618245,5,22.25772375,20,21.0198617,2.5,0.219269095,46.4447556,209.3867915,[0.]
0.18,1,100,0,119.4928835,91.29387976,5,34.74670767,20,15.7015104,2.5,44.29596127,0.128450873,169.2618384,[0.]
0.18,2,74.0179531,-40.80403416,136.1897883,-71.06869253,5,31.56758372,20,19.52594762,2.5,0.288019654,47.20312229,42.89747601,[0.]
0.18,3,100,0,196.9804447,-55.77410695,5,83.82634863,20,72.17193026,2.5,0.71299817,47.1912424,985.3843776,[0.]
0.18,4,100,0,124.1280775,41.51780813,5,48.96131745,20,32.51804082,2.5,45.49191912,0.055508855,20.55363822,[0.]
0.18,5,76.90260692,-39.79644706,140.7473617,-62.94206888,5,21.89249233,20,25.84201642,2.5,0.723243075,44.20300501,155.7048151,[0.]
0.18,6,85.41530777,-39.40146382,140.0055076,-59.8223973,5,68.98520289,20,30.20068116,2.5,0.723243075,46.98527898,45.82942841,[0.]
0.18,7,88.3779598,-38.20824657,154.6533287,-62.20558174,5,30.5606035,20,49.68240618,2.5,0.151021707,49.8513907,206.8064991,[0.]
0.18,8,74.12958675,-40.15810233,149.7070436,-64.32292008,5,20.26939162,20,21.85112801,2.5,0.723243075,47.70723434,268.2541318,[0.]
0.18,9,99.8932043,-29.99586885,196.4685315,-55.8007309,5,81.08801925,20,72.17193026,2.5,0.71299817,47.16804077,982.5807868,[0.]
0.18,10,99.16569317,-35.02985186,193.7480386,-56.20043409,5,69.13703246,20,70.7570438,2.5,0.1123709,47.02040595,985.4549713,[0.]
0.18,11,99.80819776,-26.24128294,172.5632157,-53.99490231,5,81.11600193,20,74.13527835,2.5,9.902060163,45.87957906,268.013174,[0.]
0.18,12,97.81796597,-32.09564855,165.1275467,-50.92151414,5,28.80232072,20,76.53535234,2.5,3.830199271,47.61258155,184.6558519,[0.]
0.18,13,100,0,129.398223,20.87255952,5,55.42889417,20,38.74462907,2.5,46.0288327,6.018478807,122.7443789,[0.]
0.18,14,99.99987313,-1.008482399,170.213626,-46.54517468,5,70.49300426,20,91.25250667,2.5,33.58369335,20.07348577,133.3020054,[0.]
0.18,15,89.50109289,-37.43430207,188.4707323,-58.22716409,5,22.31913608,20,52.62117315,2.5,0.723243075,49.06418081,987.3557043,[0.]
0.18,16,98.5718045,-24.51120899,143.1865727,-16.67749808,5,66.77932786,20,46.04458609,2.5,14.17771941,32.43171559,169.3873588,[0.]
0.18,17,99.83466767,-28.85226971,174.7072751,-55.75906715,5,83.83864298,20,77.521999,2.5,1.146062833,47.16795173,250.3255513,[0.]
0.18,18,100,0,131.743021,14.54987117,5,68.87994276,20,40.05345485,2.5,46.7353097,5.8924422,122.7443789,[0.]
0.18,19,99.91652513,-12.01188854,144.2904438,-14.65276792,5,56.13948909,20,51.82504122,2.5,26.18904766,30.16613733,124.0601768,[0.]
0.18,20,100,0,121.7983646,57.75168812,5,56.17588339,20,22.19761545,2.5,44.72049222,2.026674969,123.2414607,[0.]
0.18,21,78.42132512,-40.24152773,141.8744547,-69.59042242,5,31.8388629,20,27.48370668,2.5,0.129392038,45.73920122,160.0957209,[0.]
0.18,22,100,0,119.9621798,80.09007069,5,34.74670767,20,19.44637473,2.5,45.55354755,0.128450873,15.37569449,[0.]
0.18,23,99.96555657,-9.537742847,145.4668786,-25.11947045,5,65.10937787,20,61.17685232,2.5,28.0991137,17.95058797,204.7407114,[0.]
0.18,24,80.05843391,-40.671474,146.7561101,-66.17832167,5,69.09860089,20,20.5135295,2.5,0.331084905,47.57204059,239.5963254,[0.]
0.18,25,99.62641417,-17.45217107,134.7206565,4.48432883,5,84.70677325,20,35.35586362,2.5,22.20537194,24.33961046,41.45269673,[0.]
0.18,26,99.82284179,-23.63261984,168.8322763,-51.78590786,5,62.78668741,20,75.42750447,2.5,11.22555608,46.33553109,209.6489616,[0.]
0.18,27,100,0,122.6642254,49.31561187,5,56.00083488,20,26.87159142,2.5,45.58246179,0.176969354,108.2622939,[0.]
0.18,28,99.87507528,-13.58019635,139.9788114,-11.89227233,5,72.69798473,20,46.89955055,2.5,25.03125497,24.23695404,123.71643,[0.]
0.18,29,99.75931376,-24.80993627,172.0698956,-52.97717845,5,81.11600193,20,78.61542791,2.5,10.9274146,45.80758216,124.4352386,[0.]
